ngram,predict,gt
Shuli,False,False
Shuli Zi,False,True
Zi,False,False
Ji,False,True
King,False,False
King Hui,True,False
Hui,False,True
Qin,False,False
Hann,False,False
Shuli,False,False
Shuli Zi,False,True
Zi,False,False
Qin,True,False
The,False,False
Qin,False,False
Emperor,False,False
Emperor Zhuan,False,False
Emperor Zhuan Xu,False,False
Zhuan,False,False
Zhuan Xu,True,True
Xu,False,False
Zhuan,False,False
Zhuan Xu,False,True
Xu,False,False
Nvxiu,False,True
Nvxiu,False,True
Daye,False,True
Daye,False,True
Shao,False,False
Shao Dian,False,False
Dian,False,False
Nvhua,False,False
Dafei,False,True
Fan,False,False
Fan Ju,False,True
Ju,False,False
Shu,False,True
Wei,False,False
Wei,False,False
Wei,False,False
Xu,False,False
Xu Jia,False,True
Jia,False,False
King,False,False
King Hui,False,False
Hui,False,True
BC,False,False
Zhao,False,False
He,False,False
Zhao,False,False
Lin,False,False
Wei,False,False
Wei Zhang,False,True
Zhang,False,False
Chu,False,False
Chu,False,False
Hanzhong,False,False
Qin,False,False
Shuli,False,False
Shuli Zi,False,True
Lord,True,False
Lord Yan,False,False
Yan,True,True
King,False,False
King Hui,True,False
Hui,False,True
Qin,False,False
King,False,False
King Wu,False,False
Wu,False,True
BC,False,False
Zhang,False,False
Zhang Yi,True,True
Yi,False,False
Wei,False,False
Wei Zhang,True,True
Zhang,False,False
Shuli,False,False
Shuli Zi,False,True
Zi,True,False
Gan,True,False
Gan Mou,False,True
Mou,False,False
Qin,False,False
Gan,False,False
Gan Mou,False,True
Mou,False,False
Hann,False,False
Yiyang,False,False
Shuli,False,False
Shuli Zi,False,True
Zi,False,False
Zhou,False,False
The,False,False
The Zhou,False,False
Zhou,False,False
Emperor,False,False
Emperor Shun,False,False
Shun,False,True
You,False,False
Yu,False,True
You,False,False
Your,False,False
He,False,False
Yao,False,False
Dafei,False,True
Shun,False,True
Boyi,False,True
Shun,False,True
Ying,False,True
Dalian,False,False
Mengxi,False,True
Zhongyan,False,True
Zhongyan,False,True
Emperor,False,False
Emperor Taiwu,False,False
Taiwu,False,True
Wang,False,False
Wang Ji,False,True
Ji,False,False
Zheng,False,False
Zheng Anping,False,True
Anping,False,False
Zhang,False,False
Zhang Lu,False,True
Lu,True,False
Wang,False,False
Wang Ji,False,True
Ji,False,False
They,True,False
Wang,False,False
Wang Ji,False,True
Ji,False,False
Fan,False,False
Fan Ju,False,True
Ju,False,False
Fan,False,False
Fan Ju,False,True
Ju,False,False
Wang,False,False
Wang Ji,False,True
Ji,False,False
Wei,False,False
Fan,False,False
Fan Ju,False,True
Ju,False,False
Qin,False,False
The,False,False
Pu,False,False
We,False,False
Qin,False,False
Wey,False,False
They,False,False
Hu,False,False
Qin,False,False
Fan,False,False
Fan Ju,False,True
Ju,False,False
Who,False,False
Gan,False,False
Gan Mou,False,True
Mou,False,False
Xiacai,False,False
Chu,False,False
He,False,False
Master,False,False
Master Shi,False,False
Master Shi Ju,False,False
Shi,False,False
Shi Ju,False,True
Ju,False,False
Xiacai,False,False
He,False,False
Zhang,False,False
Zhang Yi,False,True
Yi,False,False
Shuli,False,False
Shuli Zi,False,True
Zi,True,False
King,False,False
King Hui,False,False
Hui,False,True
Qin,False,False
The,True,False
Wei,False,False
Wei Zhang,False,True
Zhang,False,False
Hanzhong,False,False
Wang,False,True
They,False,False
They,False,False
I,False,False
Wang,False,False
Wang Ji,False,True
Ji,False,False
