movie_ind,name,year,score,tomatoter,audience,runtime,genre,certificate,gross,director,star,writer
0,Breaking A Monster,2016,,100%,56%,92 minutes,Documentary,NR,,Luke Meyer,"Malcolm Brickhouse, Alec Atkins, Jarad Dawkins, Alan Sacks, Nile Rodgers, Jimmy Webb, Q-Tip, Samantha Sacks, Alex Suarez, Annette Van Duren, Douglas Wimbish","Luke Meyer, Brad Turner"
1,Annie,2015,,28%,59%,118 minutes,"Drama, Kids & Family, Musical & Performing Arts",PG,,Will Gluck,"Jamie Foxx, Rose Byrne, Bobby Cannavale, Cameron Diaz, Adewale Akinnuoye-Agbaje, David Zayas, Zoe Margaret Colletti, Nicolette Pierini, Eden Duncan-Smith, Amanda Troya, Dorian Missick, Tracie Thoms, Mike Birbiglia, Quvenzhane Wallis, Stephanie Kurtzuba, Peter Van Wagner, Ray Iannicelli, Michael J. Fox, Jill Nicolini, Raushanna Simmons, Brad Bong, Andrew Fleming, Ty Jones, Jessica Sherr, Donnamarie Recco, Víctor Cruz, Mimi Bessette, Ryan DeLuca, Danny Flaherty, Gordon Joseph Weiss, Patricia Clarkson, Brendan Burke, Allison Jean White, Sia, Taryn Gluck, Alexandra Gluck, Derrick Baskin, Pernell Walker, Lannon Killea, Molly Prather, Bobby Moynihan, Mila Kunis, Ashton Kutcher, Rihanna, Scarlett Benchley, Pat Kiernan, Beth Rowe, Lytle Harper, Brittany Connors, Aldous Davidson, Lance Kerfuffle, Kevin Cannon, J. Kaitlin Becker, Alan Purwin, Ben Skorstad, Gia Henderson, Mark Whitfield, Matthew Rush Sullivan, Sade DeMorcy, Brittany Parks, Emma Wetzel, Hannah Green, Joseph Mancini, Alex Rubiano, Eliza David, Tymell Hubbard, Josh Price, Sofia Rubino","Will Gluck, Emma Thompson, Aline Brosh McKenna"
2,Smallfoot,2018,,76%,63%,109 minutes,"Action & Adventure, Animation, Comedy, Kids & Family",PG,,Karey Kirkpatrick,"Channing Tatum, James Corden, Zendaya, Common, LeBron James, Danny DeVito, Gina Rodriguez, Yara Shahidi, Ely Henry, Jimmy Tatro, Patricia Heaton, Justin Roiland, Jack Quaid","Karey Kirkpatrick, Clare Sera, John Requa, Glenn Ficarra"
3,The Revival,2018,,75%,47%,84 minutes,"Drama, Gay & Lesbian",NR,,Jennifer Gerber,"David Rysdahl, Zachary Booth, Ray McAnally, Lucy Faust, Stephen Ellis",Samuel Brett Williams
4,The New Radical,2017,,58%,67%,117 minutes,Documentary,NR,,Adam Bhala Lough,"Cody Wilson, Amir Taaki",Adam Bhala Lough
5,Feminists: What Were They Thinking?,2018,,80%,71%,86 minutes,Documentary,NR,,Johanna Demetrakas,"Jane Fonda, Lily Tomlin, Judy Chicago, Laurie Anderson",
6,Papadopoulos & Sons,2015,,71%,52%,105 minutes,"Art House & International, Comedy, Drama",NR,,"Marcus Markou, Markos Markou","Stephen Dillane, Cosima Shaw, Georges Corraface, Thomas Underhill, Frank Dillane, Georgia Groome, Ed Stoppard, Selina Cadell","Marcus Markou, Markos Markou"
7,The Last King,2016,,89%,44%,99 minutes,"Action & Adventure, Art House & International, Drama",R,,Nils Gaup,"Kristofer Hivju, Nikolaj Lie Kaas, Jakob Oftebro, Thorbjørn Harr, Benjamin Helstad, Pål Sverre Hagen, Anders Dahlberg, Jeppe Beck Laursen, Stig Henrik Hoff, Elg Elgesem, Asmund Brede Eike, Adam Nemet, Jon Inge Nordnes, Thea Sofie Loch Naess, Torkel Dommersnes Soldal, Ane Ulimoen Overli",Ravn Lanesskog
8,The Newspaperman: The Life and Times of Ben Bradlee,2017,,94%,85%,89 minutes,Documentary,NR,,John Maggio,"Bob Woodward, Carl Bernstein, Courtland Milloy, David Maraniss, David Remnick, Don Graham, George Vaillant, Henry Kissinger, Ben Bradlee Jr., Jim Hoagland, Jim Lehrer, Norman Lear, Richard Cohen, Robert Kaiser, Robert Redford, Sally Bedell Smith, Sally Quinn, Tina Brown, Tom Brokaw",
9,Train to Busan (Busanhaeng),2017,,95%,88%,118 minutes,"Action & Adventure, Art House & International, Horror, Mystery & Suspense",NR,,Yeon Sang-ho,"Yoo Gong, Yumi Jung, Ma Dong-seok, Kim Eui-sung, Kim Soo-ahn, Woo-sik Choi, So-hee Ahn, Kim Chang-hwan, Jang Hyeok-jin, Kim Yool-ho",Yeon Sang-ho
