ngram,doc_id,span,has_prefix,has_quote_s,length,next_dep,next_ent_type,next_has_quote_s,next_is_alpha,next_is_punct,next_is_quote,next_is_space,next_is_stop,next_lemma,next_lex_id,next_pos,next_tag,pre_has_prefix,prev_dep,prev_ent_type,prev_is_alpha,prev_is_punct,prev_is_quote,prev_is_space,prev_is_stop,prev_lemma,prev_lex_id,prev_pos,prev_tag,span_dep,span_ent_type,span_id,span_is_alpha,span_is_punct,span_is_quote,span_is_space,span_is_stop,span_lemma,span_lex_id,span_pos,span_tag
Wei,2,Wei Qi,0.0,0.0,1,436,378,0.0,1.0,0.0,0.0,0.0,0.0,9098184522612989934,0,95,15794550382381185553,0.0,440,0,1.0,0.0,0.0,0.0,1.0,886050111519832510,0,84,1292078113972184607,436,378,1,0.0,0.0,0.0,0.0,0.0,5806713766918506457,0,95,15794550382381185553
Wei Qi,2,Wei Qi,0.0,0.0,2,442,0,0.0,0.0,1.0,0.0,0.0,0.0,2593208677638477497,0,96,2593208677638477497,0.0,440,0,1.0,0.0,0.0,0.0,1.0,886050111519832510,0,84,1292078113972184607,436,378,1,0.0,0.0,0.0,0.0,0.0,5806713766918506457,0,95,15794550382381185553
Qi,2,Wei Qi,0.0,0.0,1,442,0,0.0,0.0,1.0,0.0,0.0,0.0,2593208677638477497,0,96,2593208677638477497,0.0,7037928807040764755,378,1.0,0.0,0.0,0.0,0.0,5806713766918506457,0,95,15794550382381185553,436,378,1,0.0,0.0,0.0,0.0,0.0,5806713766918506457,0,95,15794550382381185553
Qin,2,powerful Qin,0.0,0.0,1,442,0,0.0,0.0,1.0,0.0,0.0,0.0,2593208677638477497,0,96,2593208677638477497,0.0,399,0,1.0,0.0,0.0,0.0,0.0,12699150645881488834,0,83,10554686591937588953,436,0,3,0.0,0.0,0.0,0.0,0.0,12699150645881488834,0,83,10554686591937588953
I,2,I,0.0,0.0,1,8206900633647566924,0,0.0,1.0,0.0,0.0,0.0,1.0,9614445426764226664,0,99,17109001835818727656,0.0,397,0,1.0,0.0,0.0,0.0,0.0,15828358366003722530,0,85,164681854541413346,426,0,0,1.0,0.0,0.0,0.0,0.0,561228191312463089,0,94,13656873538139661788
The,2,The Biographies,0.0,0.0,1,413,386,0.0,1.0,0.0,0.0,0.0,0.0,426054058191925349,0,95,11233576250605462493,0.0,442,0,0.0,1.0,1.0,0.0,0.0,15884554869126768810,0,96,4969857429396651903,413,386,1,0.0,0.0,0.0,0.0,0.0,7425985699627899538,0,89,15267657372422890137
The Biographies,2,The Biographies,0.0,0.0,2,440,386,0.0,1.0,0.0,0.0,0.0,1.0,886050111519832510,0,84,1292078113972184607,0.0,442,0,0.0,1.0,1.0,0.0,0.0,15884554869126768810,0,96,4969857429396651903,413,386,1,0.0,0.0,0.0,0.0,0.0,7425985699627899538,0,89,15267657372422890137
Biographies,2,The Biographies,0.0,0.0,1,440,386,0.0,1.0,0.0,0.0,0.0,1.0,886050111519832510,0,84,1292078113972184607,0.0,412,386,1.0,0.0,0.0,0.0,0.0,7425985699627899538,0,89,15267657372422890137,413,386,1,0.0,0.0,0.0,0.0,0.0,7425985699627899538,0,89,15267657372422890137
Fan,2,Fan Ju,0.0,0.0,1,436,386,0.0,1.0,0.0,0.0,0.0,0.0,12131576118151215659,0,95,15794550382381185553,0.0,440,386,1.0,0.0,0.0,0.0,1.0,886050111519832510,0,84,1292078113972184607,436,386,2,0.0,0.0,0.0,0.0,0.0,9836875835655631250,0,95,15794550382381185553
Fan Ju,2,Fan Ju,0.0,0.0,2,404,386,0.0,1.0,0.0,0.0,0.0,1.0,2283656566040971221,0,88,17571114184892886314,0.0,440,386,1.0,0.0,0.0,0.0,1.0,886050111519832510,0,84,1292078113972184607,436,386,2,0.0,0.0,0.0,0.0,0.0,9836875835655631250,0,95,15794550382381185553
Ju,2,Fan Ju,0.0,0.0,1,404,386,0.0,1.0,0.0,0.0,0.0,1.0,2283656566040971221,0,88,17571114184892886314,0.0,7037928807040764755,386,1.0,0.0,0.0,0.0,0.0,9836875835655631250,0,95,15794550382381185553,436,386,2,0.0,0.0,0.0,0.0,0.0,9836875835655631250,0,95,15794550382381185553
Cai,2,Cai Ze,0.0,0.0,1,407,386,0.0,1.0,0.0,0.0,0.0,0.0,1612167049004747283,0,95,15794550382381185553,0.0,404,386,1.0,0.0,0.0,0.0,1.0,2283656566040971221,0,88,17571114184892886314,407,386,3,0.0,0.0,0.0,0.0,0.0,2608998410074175345,0,95,15794550382381185553
Cai Ze,2,Cai Ze,0.0,0.0,2,442,0,0.0,0.0,1.0,1.0,0.0,0.0,15884554869126768810,0,96,14143520107006108953,0.0,404,386,1.0,0.0,0.0,0.0,1.0,2283656566040971221,0,88,17571114184892886314,407,386,3,0.0,0.0,0.0,0.0,0.0,2608998410074175345,0,95,15794550382381185553
Ze,2,Cai Ze,0.0,0.0,1,442,0,0.0,0.0,1.0,1.0,0.0,0.0,15884554869126768810,0,96,14143520107006108953,0.0,7037928807040764755,386,1.0,0.0,0.0,0.0,0.0,2608998410074175345,0,95,15794550382381185553,407,386,3,0.0,0.0,0.0,0.0,0.0,2608998410074175345,0,95,15794550382381185553
