A_id,B_id
1001,2736
1001,426
1004,945
1004,2661
1004,2879
1010,1026
1013,2990
1022,248
1022,7
1022,1904
1022,2729
1022,2604
1022,2330
1025,2330
1034,744
1034,547
1037,2661
1037,2101
1046,2435
1052,2004
1055,2537
1097,394
1100,1571
1100,2827
1100,2438
1103,831
1109,421
1118,945
1118,2879
1118,2661
1124,1981
1127,2886
1127,1321
1139,1553
1139,2438
1142,137
1145,1081
1148,1041
1154,1991
1160,2330
1169,1285
1178,1826
1190,2330
1202,1416
1217,1811
1220,1303
1223,59
1226,2957
1226,2330
1229,2438
1235,2604
1235,2330
1235,7
1235,808
1235,205
1235,325
1235,248
1235,63
1238,316
1244,1302
1247,2438
125,231
125,2624
1250,2886
1262,2330
1262,248
1262,808
1262,7
1268,2841
1277,2330
128,1381
1292,76
1298,2101
1301,805
1307,248
1307,63
1307,205
1307,1391
1307,325
1307,2330
1322,1792
1325,2661
1325,945
1334,1068
1334,668
1334,29
1334,6
1334,1553
1334,1361
1334,145
1334,1391
1334,2438
1337,2330
1337,2957
1355,2330
1358,2661
1358,29
1361,2330
1367,2695
1373,1302
1373,95
1376,2827
1376,2667
1376,2438
1376,1571
1397,2695
14,484
1400,106
1403,2330
1406,2729
1406,1068
1406,1553
1406,145
1406,29
1412,2124
1415,285
1418,773
1421,2033
143,668
143,1391
143,6
143,1553
143,29
143,145
1436,1884
1442,493
1454,2330
1454,2957
1475,248
1475,2330
1475,2604
1475,2042
149,2827
149,2438
149,1571
149,1302
1490,1553
1493,2879
1493,2661
1493,945
1496,2661
1502,2661
1502,2233
1508,1553
1508,2661
1514,248
1514,63
1514,7
1514,1391
1514,154
1514,808
1514,1047
1514,284
1514,2330
1514,2957
1514,2604
1514,2649
1517,883
1523,584
1523,1571
1523,46
1523,1811
1523,2827
1523,2438
1526,205
1526,325
1526,7
1526,248
1526,63
1526,808
1526,2330
1526,2604
1529,2879
1529,2661
1529,945
1529,63
1529,7
1529,145
1535,492
1535,1391
1535,325
1535,205
1535,2330
1535,2957
1541,1553
155,143
1553,2729
1553,1068
1553,29
1553,145
1553,1553
1559,2438
1559,2827
1559,2916
1559,1571
1580,2661
1580,2438
1580,2879
1580,2957
1580,2330
1580,945
1589,2827
1589,2438
1589,1875
1589,1571
1598,2004
1598,754
1598,1302
1598,134
1601,588
1610,107
1610,2330
1622,2661
1625,719
1634,2879
1634,2661
1634,7
1634,1612
1643,793
1652,2715
1655,2736
1655,83
1655,34
1658,266
1658,2330
1667,1302
1667,2366
167,2604
167,2661
1679,2330
